기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019	광진구	구의3동	809	441	368	371	201	170	86	47	39	75	33	42	113	61	52	5	4	1	63	37	26	20	16	4	19	9	10	37	18	19	2	2	-	1	1	-	5	3	2	1	1	-	9	6	3	2	2	-
2019	광진구	광장동	739	436	303	322	177	145	90	51	39	81	61	20	84	41	43	6	6	-	57	40	17	18	15	3	22	10	12	33	15	18	2	1	1	4	4	-	10	7	3	-	-	-	9	8	1	1	-	1
2019	광진구	자양1동	920	526	394	429	245	184	86	51	35	107	65	42	121	67	54	6	4	2	55	30	25	10	9	1	31	12	19	46	25	21	4	1	3	8	4	4	4	4	-	1	-	1	6	5	1	6	4	2
2019	광진구	자양2동	970	572	398	450	273	177	107	64	43	86	48	38	127	66	61	4	4	-	75	41	34	17	14	3	38	20	18	37	23	14	1	1	-	10	7	3	8	6	2	-	-	-	6	4	2	4	1	3
2019	광진구	자양3동	841	484	357	357	204	153	96	57	39	86	46	40	130	59	71	8	5	3	48	34	14	20	16	4	24	9	15	52	37	15	2	2	-	5	5	-	6	3	3	-	-	-	6	6	-	1	1	-
2019	광진구	자양4동	893	530	363	445	250	195	84	47	37	93	62	31	110	68	42	4	4	-	48	28	20	1	1	-	38	23	15	47	28	19	1	1	-	2	2	-	4	4	-	-	-	-	13	11	2	3	1	2
2019	동대문구	소계	15,871	9,219	6,652	7,553	4,200	3,353	1,665	1,000	665	1,551	992	559	2,260	1,267	993	131	101	30	895	574	321	148	126	22	634	321	313	636	379	257	37	26	11	86	69	17	100	58	42	19	9	10	110	72	38	46	25	21
2019	동대문구	회기동	325	179	146	138	68	70	40	27	13	27	16	11	53	30	23	1	1	-	19	9	10	5	4	1	13	5	8	18	11	7	-	-	-	6	4	2	-	-	-	-	-	-	4	4	-	1	-	1
2019	동대문구	휘경1동	672	383	289	328	186	142	68	34	34	73	49	24	81	46	35	8	3	5	38	24	14	7	6	1	25	10	15	25	14	11	1	1	-	2	2	-	6	3	3	1	-	1	8	5	3	1	-	1
2019	동대문구	휘경2동	886	501	385	427	228	199	108	63	45	82	53	29	116	65	51	8	6	2	52	31	21	12	10	2	26	13	13	38	19	19	2	1	1	5	5	-	3	2	1	1	1	-	3	2	1	3	2	1
